state,age,male,female
India,0,10633298,9677936
India,1,11381468,10373729
India,2,11952853,11103415
India,3,12331431,11642610
India,4,12333024,11377014
India,5,13725480,12328750
India,6,13394700,12259545
India,7,12903364,11923276
India,8,14061937,12906436
India,9,12214985,11209653
India,10,16089436,14462671
India,11,12962604,11778342
India,12,14637892,13239415
India,13,12563775,11716908
India,14,13165128,12093041
India,15,13739746,12159708
India,16,13027935,11564358
India,17,11349449,9868018
India,18,15020851,12937296
India,19,10844415,10014673
India,20,14892165,13990570
India,21,10532278,9446694
India,22,12392976,11135249
India,23,9674189,9479866
India,24,10093085,9787150
India,25,14311524,13456554
India,26,10315030,9761967
India,27,8552032,8157318
India,28,10719926,11407090
India,29,7445696,7286828
India,30,15628996,14770033
India,31,7157502,6665743
India,32,8801105,8812439
India,33,6108879,6655662
India,34,6964192,7030400
India,35,15036666,13385965
India,36,8067568,7760149
India,37,5784879,5907352
India,38,8090401,9381357
India,39,5939867,5786480
India,40,15173411,13355581
India,41,6172297,5395597
India,42,6856826,6523816
India,43,4468914,4865438
India,44,4873938,4752294
India,45,12685175,11187786
India,46,5735540,5257138
India,47,4043122,3908175
India,48,5568554,6081038
India,49,4105723,3746076
India,50,11379329,10083093
India,51,4323584,3562382
India,52,4068700,3666464
India,53,2808043,2782747
India,54,3263610,3131302
India,55,7769352,7838194
India,56,3666804,3405033
India,57,2339391,2259635
India,58,3072508,3646426
India,59,2607957,2540755
India,60,8677046,9133643
India,61,3095448,2931365
India,62,2892015,2853128
India,63,1977207,2016898
India,64,2060033,2026924
India,65,6275854,6746498
India,66,2278670,2233276
India,67,1353711,1251371
India,68,1640034,1908339
India,69,1396057,1371173
India,70,5393714,5592566
India,71,1584873,1499310
India,72,1176727,1074202
India,73,708381,658155
India,74,787804,733110
India,75,2278704,2493642
India,76,832251,834882
India,77,438394,396654
India,78,506957,561458
India,79,434297,455264
India,80,1725200,2059738
India,81,491522,536294
India,82,306378,297415
India,83,192946,187239
India,84,210994,212503
India,85,580527,684271
India,86,215850,232048
India,87,112348,109063
India,88,112374,123266
India,89,99007,114413
India,90,360237,472835
India,91,118606,139691
India,92,75430,78131
India,93,46220,48410
India,94,51972,55002
India,95,124950,147584
India,96,57894,62374
India,97,35238,36175
India,98,48393,56118
India,99,28284,36287
India,100+,289325,316453
India,Age not stated,2372881,2116921
Jammu & Kashmir,0,154761,120551
Jammu & Kashmir,1,148546,125847
Jammu & Kashmir,2,152596,133335
Jammu & Kashmir,3,151640,134800
Jammu & Kashmir,4,155958,136850
Jammu & Kashmir,5,161229,141907
Jammu & Kashmir,6,159625,141260
Jammu & Kashmir,7,142123,128415
Jammu & Kashmir,8,150470,134844
Jammu & Kashmir,9,133371,118729
Jammu & Kashmir,10,166773,147510
Jammu & Kashmir,11,149261,132788
Jammu & Kashmir,12,152365,137433
Jammu & Kashmir,13,136728,124351
Jammu & Kashmir,14,139728,126916
Jammu & Kashmir,15,140502,130490
Jammu & Kashmir,16,136077,126964
Jammu & Kashmir,17,115421,106198
Jammu & Kashmir,18,141830,134386
Jammu & Kashmir,19,106532,99062
Jammu & Kashmir,20,149061,145367
Jammu & Kashmir,21,111514,101114
Jammu & Kashmir,22,122733,112374
Jammu & Kashmir,23,106836,98214
Jammu & Kashmir,24,113434,100266
Jammu & Kashmir,25,152478,138392
Jammu & Kashmir,26,122473,102013
Jammu & Kashmir,27,103066,81337
Jammu & Kashmir,28,120577,110693
Jammu & Kashmir,29,85965,69128
Jammu & Kashmir,30,163327,152274
Jammu & Kashmir,31,89361,69540
Jammu & Kashmir,32,93527,79193
Jammu & Kashmir,33,74486,64272
Jammu & Kashmir,34,75045,65878
Jammu & Kashmir,35,141081,128154
Jammu & Kashmir,36,89010,75908
